(u'arbu060801', u'u96_q51_6850', 1, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.GB/_ci_builds/96_8.2.1.DHL_RefData.GB_rev0999_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 1, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.GB/_ci_builds/96_8.2.1.DHL_RefData.GB_rev0999_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 1, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.GB/_ci_builds/96_8.2.1.DHL_RefData.GB_rev0999_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 1, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.GB/_ci_builds/96_8.2.1.DHL_RefData.GB_rev0999_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6850', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.Global/_ci_builds/96_8.2.1.DHL_RefData.Global_rev0956_autoinstaller.zip')
(u'arbu060801', u'u96_q51_6306', 0, u'ftp.netcracker.com/ftp/Projects/DHL/IM.GRE_CP/_Internal_Deliverables/8.2.1.DHL.CP.RefData.BE/_ci_builds/96_8.2.1.DHL_RefData.BE_rev0966_autoinstaller.zip')
